-0.08673, 1.19886, 0.01246
0.07489, 1.20545, 0.01170
-0.07837, 1.06918, 0.03438
0.07145, 1.07214, 0.03619
-0.06808, 0.90263, 0.05621
0.06519, 0.90517, 0.05508
0.05868
0.05531
0.048115
0.04439
-0.00252, 1.07285, 0.05172
0.037965
0.02739
0.037965
0.02739
-0.03104, 1.50398, 0.01060
0.03909, 1.50290, 0.01001
-0.07412, 1.42636, -0.06694
0.07297, 1.42410, -0.07204
-0.02122, 1.36267, 0.01276
0.02401, 1.35987, 0.01221
-0.03586, 1.43059, 0.01624
0.03782, 1.42899, 0.01503
0.00449, 1.38801, 0.03251
0.00415, 1.48434, 0.03239
-0.04361, 1.50205, -0.12783
0.04373, 1.50087, -0.13122
0, 1.47244, -0.15387
-0.08647, 0.90530, -0.09838
0.08619, 0.90593, -0.10275
0, 0.99854, -0.10792
0, 0.80459, -0.03355
